date,high,low,Month,Year,City,DATEE
2,35°,26°,May,2020,Karachi,02-May-20
3,36°,27°,May,2020,Karachi,03-May-20
4,37°,27°,May,2020,Karachi,04-May-20
5,38°,28°,May,2020,Karachi,05-May-20
6,40°,27°,May,2020,Karachi,06-May-20
7,38°,29°,May,2020,Karachi,07-May-20
8,37°,28°,May,2020,Karachi,08-May-20
9,35°,29°,May,2020,Karachi,09-May-20
10,35°,28°,May,2020,Karachi,10-May-20
11,35°,29°,May,2020,Karachi,11-May-20
12,35°,28°,May,2020,Karachi,12-May-20
13,36°,27°,May,2020,Karachi,13-May-20
14,35°,28°,May,2020,Karachi,14-May-20
15,37°,28°,May,2020,Karachi,15-May-20
16,38°,28°,May,2020,Karachi,16-May-20
17,36°,28°,May,2020,Karachi,17-May-20
18,38°,27°,May,2020,Karachi,18-May-20
19,37°,3°,May,2020,Karachi,19-May-20
20,40°,3°,May,2020,Karachi,20-May-20
21,38°,29°,May,2020,Karachi,21-May-20
22,37°,30°,May,2020,Karachi,22-May-20
23,36°,28°,May,2020,Karachi,23-May-20
24,36°,28°,May,2020,Karachi,24-May-20
25,35°,28°,May,2020,Karachi,25-May-20
26,38°,28°,May,2020,Karachi,26-May-20
27,38°,30°,May,2020,Karachi,27-May-20
28,36°,29°,May,2020,Karachi,28-May-20
29,36°,30°,May,2020,Karachi,29-May-20
30,35°,29°,May,2020,Karachi,30-May-20
31,36°,29°,May,2020,Karachi,31-May-20
1,36°,29°,June,2020,Karachi,01-Jun-20
2,36°,29°,June,2020,Karachi,02-Jun-20
3,37°,29°,June,2020,Karachi,03-Jun-20
4,38°,27°,June,2020,Karachi,04-Jun-20
5,37°,29°,June,2020,Karachi,05-Jun-20
6,37°,30°,June,2020,Karachi,06-Jun-20
7,37°,30°,June,2020,Karachi,07-Jun-20
8,37°,31°,June,2020,Karachi,08-Jun-20
9,37°,31°,June,2020,Karachi,09-Jun-20
10,37°,30°,June,2020,Karachi,10-Jun-20
11,37°,31°,June,2020,Karachi,11-Jun-20
12,37°,30°,June,2020,Karachi,12-Jun-20
13,37°,30°,June,2020,Karachi,13-Jun-20
14,38°,30°,June,2020,Karachi,14-Jun-20
15,39°,30°,June,2020,Karachi,15-Jun-20
16,38°,30°,June,2020,Karachi,16-Jun-20
17,38°,29°,June,2020,Karachi,17-Jun-20
18,37°,30°,June,2020,Karachi,18-Jun-20
19,37°,31°,June,2020,Karachi,19-Jun-20
20,38°,31°,June,2020,Karachi,20-Jun-20
21,37°,30°,June,2020,Karachi,21-Jun-20
22,38°,31°,June,2020,Karachi,22-Jun-20
23,39°,32°,June,2020,Karachi,23-Jun-20
24,39°,31°,June,2020,Karachi,24-Jun-20
25,38°,31°,June,2020,Karachi,25-Jun-20
26,37°,31°,June,2020,Karachi,26-Jun-20
27,37°,31°,June,2020,Karachi,27-Jun-20
28,37°,31°,June,2020,Karachi,28-Jun-20
29,36°,30°,June,2020,Karachi,29-Jun-20
30,38°,30°,June,2020,Karachi,30-Jun-20
1,40°,31°,July,2020,Karachi,01-Jul-20
2,38°,32°,July,2020,Karachi,02-Jul-20
3,39°,31°,July,2020,Karachi,03-Jul-20
4,38°,32°,July,2020,Karachi,04-Jul-20
5,38°,31°,July,2020,Karachi,05-Jul-20
6,40°,29°,July,2020,Karachi,06-Jul-20
7,36°,31°,July,2020,Karachi,07-Jul-20
8,34°,29°,July,2020,Karachi,08-Jul-20
9,38°,26°,July,2020,Karachi,09-Jul-20
10,37°,29°,July,2020,Karachi,10-Jul-20
11,36°,31°,July,2020,Karachi,11-Jul-20
12,35°,30°,July,2020,Karachi,12-Jul-20
13,36°,29°,July,2020,Karachi,13-Jul-20
14,37°,30°,July,2020,Karachi,14-Jul-20
15,37°,30°,July,2020,Karachi,15-Jul-20
16,38°,30°,July,2020,Karachi,16-Jul-20
17,43°,29°,July,2020,Karachi,17-Jul-20
18,39°,26°,July,2020,Karachi,18-Jul-20
19,36°,30°,July,2020,Karachi,19-Jul-20
20,35°,30°,July,2020,Karachi,20-Jul-20
21,34°,29°,July,2020,Karachi,21-Jul-20
22,36°,30°,July,2020,Karachi,22-Jul-20
23,36°,29°,July,2020,Karachi,23-Jul-20
24,36°,31°,July,2020,Karachi,24-Jul-20
25,37°,31°,July,2020,Karachi,25-Jul-20
26,35°,26°,July,2020,Karachi,26-Jul-20
27,33°,25°,July,2020,Karachi,27-Jul-20
28,35°,28°,July,2020,Karachi,28-Jul-20
29,34°,29°,July,2020,Karachi,29-Jul-20
30,35°,30°,July,2020,Karachi,30-Jul-20
31,37°,30°,July,2020,Karachi,31-Jul-20
1,37°,30°,August,2020,Karachi,01-Aug-20
2,37°,31°,August,2020,Karachi,02-Aug-20
3,36°,30°,August,2020,Karachi,03-Aug-20
4,36°,31°,August,2020,Karachi,04-Aug-20
5,37°,30°,August,2020,Karachi,05-Aug-20
6,39°,27°,August,2020,Karachi,06-Aug-20
7,35°,27°,August,2020,Karachi,07-Aug-20
8,30°,29°,August,2020,Karachi,08-Aug-20
9,32°,27°,August,2020,Karachi,09-Aug-20
10,33°,28°,August,2020,Karachi,10-Aug-20
11,35°,31°,August,2020,Karachi,11-Aug-20
12,33°,29°,August,2020,Karachi,12-Aug-20
13,35°,29°,August,2020,Karachi,13-Aug-20
14,36°,30°,August,2020,Karachi,14-Aug-20
15,36°,29°,August,2020,Karachi,15-Aug-20
16,36°,30°,August,2020,Karachi,16-Aug-20
