date,high,low,Month
1,31°,20°,March
2,32°,18°,March
3,32°,21°,March
4,29°,22°,March
5,30°,20°,March
6,29°,19°,March
7,30°,16°,March
8,30°,16°,March
9,32°,16°,March
10,30°,18°,March
11,27°,18°,March
12,28°,16°,March
13,29°,17°,March
14,31°,15°,March
15,32°,16°,March
16,33°,19°,March
17,35°,18°,March
18,37°,19°,March
19,35°,19°,March
20,31°,20°,March
21,31°,24°,March
22,34°,24°,March
23,31°,22°,March
24,32°,25°,March
25,30°,23°,March
26,25°,22°,March
27,30°,19°,March
28,32°,20°,March
29,35°,21°,March
30,36°,20°,March
31,33°,24°,March
