date,high,low,Month
1,20°,1°,January
2,23°,10°,January
3,25°,11°,January
4,25°,13°,January
5,26°,14°,January
6,26°,14°,January
7,21°,12°,January
8,24°,10°,January
9,23°,8°,January
10,22°,10°,January
11,24°,12°,January
12,24°,14°,January
13,23°,12°,January
14,23°,8°,January
15,22°,10°,January
16,24°,9°,January
17,24°,10°,January
18,24°,8°,January
19,24°,10°,January
20,26°,12°,January
21,26°,10°,January
22,24°,16°,January
23,25°,14°,January
24,28°,11°,January
25,28°,12°,January
26,28°,13°,January
27,26°,15°,January
28,25°,14°,January
29,25°,12°,January
30,25°,10°,January
31,26°,10°,January
