date,high,low,Month
1,33°,14°,December
2,33°,16°,December
3,33°,16°,December
4,33°,16°,December
5,32°,22°,December
6,32°,17°,December
7,33°,18°,December
8,31°,16°,December
9,29°,16°,December
10,28°,16°,December
11,28°,20°,December
12,26°,14°,December
13,25°,11°,December
14,27°,11°,December
15,25°,11°,December
16,22°,11°,December
17,22°,13°,December
18,25°,8°,December
19,25°,9°,December
20,27°,12°,December
21,27°,9°,December
22,29°,10°,December
23,28°,11°,December
24,27°,10°,December
25,27°,12°,December
26,28°,12°,December
27,25°,12°,December
28,25°,13°,December
29,21°,7°,December
30,22°,10°,December
31,22°,9°,December
