date,high,low,Month
1,32°,28°,September
2,34°,28°,September
3,36°,28°,September
4,35°,28°,September
5,35°,28°,September
6,34°,27°,September
7,34°,28°,September
8,34°,27°,September
9,35°,27°,September
10,35°,27°,September
11,33°,27°,September
12,35°,28°,September
13,38°,28°,September
14,37°,29°,September
15,37°,30°,September
16,36°,28°,September
17,36°,28°,September
18,33°,28°,September
19,34°,27°,September
20,34°,27°,September
21,37°,28°,September
22,37°,28°,September
23,38°,29°,September
24,36°,27°,September
25,34°,27°,September
26,34°,28°,September
27,35°,29°,September
28,34°,26°,September
29,34°,26°,September
30,35°,27°,September
