date,high,low,Month
1,27°,13°,Feburary
2,27°,13°,Feburary
3,27°,12°,Feburary
4,28°,13°,Feburary
5,25°,16°,Feburary
6,27°,11°,Feburary
7,27°,12°,Feburary
8,28°,13°,Feburary
9,27°,12°,Feburary
10,29°,14°,Feburary
11,30°,15°,Feburary
12,30°,19°,Feburary
13,31°,17°,Feburary
14,32°,16°,Feburary
15,32°,14°,Feburary
16,34°,16°,Feburary
17,35°,14°,Feburary
18,35°,16°,Feburary
19,36°,20°,Feburary
20,32°,17°,Feburary
21,29°,18°,Feburary
22,30°,17°,Feburary
23,32°,19°,Feburary
24,32°,17°,Feburary
25,32°,18°,Feburary
26,31°,20°,Feburary
27,32°,20°,Feburary
28,30°,22°,Feburary
29,31°,20°,Feburary
