date,high,low,Month
1,35°,27°,May
2,35°,26°,May
3,36°,27°,May
4,37°,27°,May
5,38°,28°,May
6,40°,27°,May
7,38°,29°,May
8,37°,28°,May
9,35°,29°,May
10,35°,28°,May
11,35°,29°,May
12,35°,28°,May
13,36°,27°,May
14,35°,28°,May
15,37°,28°,May
16,38°,28°,May
17,36°,28°,May
18,38°,27°,May
19,37°,3°,May
20,40°,3°,May
21,38°,29°,May
22,37°,30°,May
23,36°,28°,May
24,36°,28°,May
25,35°,28°,May
26,38°,28°,May
27,38°,30°,May
28,36°,29°,May
29,36°,30°,May
30,35°,29°,May
31,36°,29°,May
