date,high,low,Month
1,40°,31°,July
2,38°,32°,July
3,39°,31°,July
4,38°,32°,July
5,38°,31°,July
6,40°,29°,July
7,36°,31°,July
8,34°,29°,July
9,38°,26°,July
10,37°,29°,July
11,36°,31°,July
12,35°,30°,July
13,36°,29°,July
14,37°,30°,July
15,37°,30°,July
16,38°,30°,July
17,43°,29°,July
18,39°,26°,July
19,36°,30°,July
20,35°,30°,July
21,34°,29°,July
22,36°,30°,July
23,36°,29°,July
24,36°,31°,July
25,37°,31°,July
26,35°,26°,July
27,33°,25°,July
28,35°,28°,July
29,34°,29°,July
30,35°,30°,July
31,37°,30°,July
