date,high,low,Month
1,31°,19°,April
2,32°,20°,April
3,32°,20°,April
4,32°,20°,April
5,32°,21°,April
6,33°,21°,April
7,33°,21°,April
8,33°,21°,April
9,33°,22°,April
10,34°,22°,April
11,34°,22°,April
12,34°,22°,April
13,34°,23°,April
14,34°,23°,April
15,35°,23°,April
16,35°,23°,April
17,35°,23°,April
18,35°,24°,April
19,35°,24°,April
20,35°,24°,April
21,35°,24°,April
22,35°,24°,April
23,36°,24°,April
24,36°,24°,April
25,36°,25°,April
26,36°,25°,April
27,36°,25°,April
28,36°,25°,April
29,36°,25°,April
30,36°,25°,April
