date,high,low,Month
1,30°,14°,December
2,30°,14°,December
3,29°,14°,December
4,29°,14°,December
5,29°,14°,December
6,29°,14°,December
7,29°,14°,December
8,29°,14°,December
9,29°,13°,December
10,28°,13°,December
11,28°,13°,December
12,28°,13°,December
13,28°,13°,December
14,28°,13°,December
15,28°,13°,December
16,28°,13°,December
17,28°,13°,December
18,27°,13°,December
19,27°,12°,December
20,27°,12°,December
21,27°,12°,December
22,27°,12°,December
23,27°,12°,December
24,27°,12°,December
25,27°,12°,December
26,27°,12°,December
27,26°,12°,December
28,26°,12°,December
29,26°,12°,December
30,26°,11°,December
31,26°,11°,December
