date,high,low,Month
1,25°,12°,January
2,24°,11°,January
3,24°,11°,January
4,25°,12°,January
5,24°,11°,January
6,24°,12°,January
7,25°,12°,January
8,25°,11°,January
9,29°,13°,January
10,28°,12°,January
11,28°,11°,January
12,28°,12°,January
13,27°,13°,January
14,28°,12°,January
15,28°,12°,January
16,27°,11°,January
17,26°,12°,January
18,27°,9°,January
19,25°,9°,January
20,25°,12°,January
21,26°,11°,January
22,27°,10°,January
23,26°,10°,January
24,25°,11°,January
25,25°,10°,January
26,25°,10°,January
27,26°,11°,January
28,26°,12°,January
29,27°,13°,January
30,28°,13°,January
31,28°,13°,January
