date,high,low,Month
1,29°,13°,February
2,29°,14°,February
3,28°,14°,February
4,29°,15°,February
5,29°,12°,February
6,27°,10°,February
7,26°,10°,February
8,27°,10°,February
9,26°,11°,February
10,27°,11°,February
11,27°,12°,February
12,27°,12°,February
13,28°,14°,February
14,29°,15°,February
15,30°,15°,February
16,31°,14°,February
17,31°,16°,February
18,30°,16°,February
19,30°,15°,February
20,28°,14°,February
21,28°,15°,February
22,28°,15°,February
23,29°,14°,February
24,31°,16°,February
25,31°,16°,February
26,31°,17°,February
27,31°,17°,February
28,31°,17°,February
