date,high,low,Month
1,32°,27°,August
2,32°,27°,August
3,32°,27°,August
4,32°,27°,August
5,32°,27°,August
6,32°,27°,August
7,32°,27°,August
8,32°,27°,August
9,32°,27°,August
10,32°,27°,August
11,32°,27°,August
12,32°,27°,August
13,32°,27°,August
14,32°,27°,August
15,32°,27°,August
16,31°,27°,August
17,31°,27°,August
18,31°,27°,August
19,31°,27°,August
20,31°,27°,August
21,31°,27°,August
22,32°,27°,August
23,32°,27°,August
24,32°,27°,August
25,32°,26°,August
26,32°,26°,August
27,32°,26°,August
28,32°,26°,August
29,32°,26°,August
30,32°,26°,August
31,32°,26°,August
