date,high,low,Month
1,31°,17°,March
2,30°,16°,March
3,31°,17°,March
4,32°,17°,March
5,32°,17°,March
6,31°,18°,March
7,31°,17°,March
8,29°,17°,March
9,30°,16°,March
10,31°,17°,March
11,32°,17°,March
12,32°,18°,March
13,33°,19°,March
14,27°,14°,March
15,27°,14°,March
16,27°,15°,March
17,27°,15°,March
18,27°,15°,March
19,28°,16°,March
20,28°,16°,March
21,28°,16°,March
22,28°,16°,March
23,29°,17°,March
24,29°,17°,March
25,29°,17°,March
26,30°,18°,March
27,30°,18°,March
28,30°,18°,March
29,31°,18°,March
30,31°,19°,March
31,31°,19°,March
