date,high,low,Month
1,32°,26°,September
2,32°,26°,September
3,32°,26°,September
4,32°,26°,September
5,32°,26°,September
6,32°,26°,September
7,32°,26°,September
8,32°,26°,September
9,32°,26°,September
10,32°,26°,September
11,33°,26°,September
12,33°,26°,September
13,33°,26°,September
14,33°,26°,September
15,33°,26°,September
16,33°,25°,September
17,33°,25°,September
18,33°,25°,September
19,33°,25°,September
20,33°,25°,September
21,34°,25°,September
22,34°,25°,September
23,34°,25°,September
24,34°,25°,September
25,34°,25°,September
26,34°,24°,September
27,34°,24°,September
28,34°,24°,September
29,34°,24°,September
30,35°,24°,September
