date,high,low,Month
1,36°,28°,June
2,36°,28°,June
3,36°,28°,June
4,36°,28°,June
5,36°,28°,June
6,36°,28°,June
7,36°,28°,June
8,36°,28°,June
9,36°,28°,June
10,36°,28°,June
11,36°,28°,June
12,36°,29°,June
13,36°,29°,June
14,36°,29°,June
15,36°,29°,June
16,36°,29°,June
17,36°,29°,June
18,35°,29°,June
19,35°,29°,June
20,35°,29°,June
21,35°,29°,June
22,35°,29°,June
23,35°,29°,June
24,35°,29°,June
25,35°,29°,June
26,35°,29°,June
27,35°,29°,June
28,35°,29°,June
29,35°,29°,June
30,35°,29°,June
