date,high,low,Month
1,29°,14°,February
2,28°,14°,February
3,29°,18°,February
4,28°,13°,February
5,29°,13°,February
6,30°,11°,February
7,30°,13°,February
8,32°,10°,February
9,29°,12°,February
10,33°,13°,February
11,33°,15°,February
12,33°,14°,February
13,32°,15°,February
14,32°,13°,February
15,29°,17°,February
16,31°,17°,February
17,32°,18°,February
18,33°,14°,February
19,33°,16°,February
20,35°,18°,February
21,34°,17°,February
22,34°,16°,February
23,30°,17°,February
24,30°,21°,February
25,33°,22°,February
26,34°,22°,February
27,33°,24°,February
28,34°,19°,February
