date,high,low,Month
1,38°,28°,May
2,36°,29°,May
3,36°,27°,May
4,36°,27°,May
5,38°,28°,May
6,37°,28°,May
7,36°,28°,May
8,39°,28°,May
9,39°,29°,May
10,35°,28°,May
11,36°,28°,May
12,35°,28°,May
13,37°,29°,May
14,37°,29°,May
15,35°,28°,May
16,42°,27°,May
17,44°,34°,May
18,42°,33°,May
19,39°,31°,May
20,36°,29°,May
21,37°,30°,May
22,37°,29°,May
23,37°,29°,May
24,37°,29°,May
25,37°,30°,May
26,38°,30°,May
27,37°,30°,May
28,37°,30°,May
29,36°,29°,May
30,36°,31°,May
31,38°,30°,May
