date,high,low,Month
1,41°,22°,April
2,41°,21°,April
3,44°,23°,April
4,37°,22°,April
5,34°,25°,April
6,35°,26°,April
7,39°,26°,April
8,38°,23°,April
9,36°,24°,April
10,40°,25°,April
11,42°,24°,April
12,36°,26°,April
13,35°,25°,April
14,33°,24°,April
15,33°,26°,April
16,36°,27°,April
17,36°,27°,April
18,37°,26°,April
19,35°,26°,April
20,37°,25°,April
21,35°,27°,April
22,36°,27°,April
23,39°,27°,April
24,40°,28°,April
25,39°,26°,April
26,38°,25°,April
27,36°,27°,April
28,35°,27°,April
29,35°,27°,April
30,38°,28°,April
