date,high,low,Month
1,32°,17°,December
2,30°,21°,December
3,30°,18°,December
4,30°,15°,December
5,30°,16°,December
6,30°,19°,December
7,28°,16°,December
8,29°,14°,December
9,29°,13°,December
10,28°,17°,December
11,30°,11°,December
12,30°,15°,December
13,27°,11°,December
14,27°,10°,December
15,26°,9°,December
16,24°,8°,December
17,25°,9°,December
18,25°,10°,December
19,26°,12°,December
20,27°,13°,December
21,27°,14°,December
22,27°,15°,December
23,28°,15°,December
24,27°,14°,December
25,27°,14°,December
26,28°,13°,December
27,28°,14°,December
28,27°,14°,December
29,27°,13°,December
30,24°,12°,December
31,24°,12°,December
