date,high,low,Month
1,25°,6°,January
2,25°,7°,January
3,25°,10°,January
4,24°,8°,January
5,24°,11°,January
6,26°,8°,January
7,25°,15°,January
8,22°,7°,January
9,24°,6°,January
10,26°,6°,January
11,27°,6°,January
12,29°,7°,January
13,29°,8°,January
14,27°,10°,January
15,28°,10°,January
16,28°,9°,January
17,27°,10°,January
18,27°,10°,January
19,27°,11°,January
20,27°,14°,January
21,28°,13°,January
22,28°,20°,January
23,28°,15°,January
24,26°,9°,January
25,28°,10°,January
26,27°,9°,January
27,26°,10°,January
28,28°,11°,January
29,28°,9°,January
30,27°,10°,January
