date,high,low,Month
1,33°,16°,March
2,34°,16°,March
3,35°,18°,March
4,34°,21°,March
5,38°,20°,March
6,32°,20°,March
7,32°,23°,March
8,33°,23°,March
9,35°,22°,March
10,32°,22°,March
11,31°,21°,March
12,34°,22°,March
13,35°,23°,March
14,34°,21°,March
15,36°,22°,March
16,34°,24°,March
17,35°,24°,March
18,33°,23°,March
19,36°,21°,March
20,35°,22°,March
21,33°,23°,March
22,32°,26°,March
23,33°,22°,March
24,35°,22°,March
25,38°,22°,March
26,39°,20°,March
27,40°,23°,March
28,35°,24°,March
29,32°,25°,March
30,40°,26°,March
31,42°,26°,March
