date,high,low,Month
1,37°,30°,June
2,36°,30°,June
3,36°,30°,June
4,37°,30°,June
5,37°,30°,June
6,37°,29°,June
7,37°,30°,June
8,36°,30°,June
9,33°,30°,June
10,36°,30°,June
11,37°,30°,June
12,35°,30°,June
13,35°,30°,June
14,35°,30°,June
15,36°,30°,June
16,37°,30°,June
17,37°,30°,June
18,37°,30°,June
19,37°,30°,June
20,35°,30°,June
21,36°,30°,June
22,36°,30°,June
23,36°,30°,June
24,34°,30°,June
25,34°,30°,June
26,35°,29°,June
27,36°,30°,June
28,38°,30°,June
29,36°,29°,June
30,35°,29°,June
