date,high,low,Month
1,41°,28°,September
2,40°,30°,September
3,34°,27°,September
4,33°,25°,September
5,33°,25°,September
6,34°,28°,September
7,35°,28°,September
8,36°,29°,September
9,33°,27°,September
10,35°,28°,September
11,36°,28°,September
12,37°,28°,September
13,36°,28°,September
14,40°,28°,September
15,39°,32°,September
16,39°,31°,September
17,38°,31°,September
18,36°,30°,September
19,36°,30°,September
20,35°,29°,September
21,33°,28°,September
22,35°,29°,September
23,36°,26°,September
24,38°,28°,September
25,37°,30°,September
26,37°,29°,September
27,37°,30°,September
28,37°,28°,September
29,39°,28°,September
30,34°,28°,September
