date,high,low,Months,Year,City,datee
27,28°,20°,April,2020,Islamabad,27-Apr-20
28,30°,19°,April,2020,Islamabad,28-Apr-20
29,32°,19°,April,2020,Islamabad,29-Apr-20
30,34°,21°,April,2020,Islamabad,30-Apr-20
1,36°,21°,May,2020,Islamabad,01-May-20
2,35°,23°,May,2020,Islamabad,02-May-20
3,27°,18°,May,2020,Islamabad,03-May-20
4,31°,18°,May,2020,Islamabad,04-May-20
5,28°,17°,May,2020,Islamabad,05-May-20
6,32°,18°,May,2020,Islamabad,06-May-20
7,33°,20°,May,2020,Islamabad,07-May-20
8,35°,20°,May,2020,Islamabad,08-May-20
9,36°,24°,May,2020,Islamabad,09-May-20
10,35°,20°,May,2020,Islamabad,10-May-20
11,32°,19°,May,2020,Islamabad,11-May-20
12,32°,18°,May,2020,Islamabad,12-May-20
13,34°,23°,May,2020,Islamabad,13-May-20
14,27°,18°,May,2020,Islamabad,14-May-20
15,29°,16°,May,2020,Islamabad,15-May-20
16,33°,20°,May,2020,Islamabad,16-May-20
17,35°,19°,May,2020,Islamabad,17-May-20
18,33°,20°,May,2020,Islamabad,18-May-20
19,32°,22°,May,2020,Islamabad,19-May-20
20,35°,19°,May,2020,Islamabad,20-May-20
21,36°,21°,May,2020,Islamabad,21-May-20
22,38°,23°,May,2020,Islamabad,22-May-20
23,33°,27°,May,2020,Islamabad,23-May-20
24,37°,24°,May,2020,Islamabad,24-May-20
25,39°,24°,May,2020,Islamabad,25-May-20
26,40°,24°,May,2020,Islamabad,26-May-20
27,40°,25°,May,2020,Islamabad,27-May-20
28,38°,25°,May,2020,Islamabad,28-May-20
29,34°,25°,May,2020,Islamabad,29-May-20
30,26°,20°,May,2020,Islamabad,30-May-20
31,29°,20°,May,2020,Islamabad,31-May-20
1,30°,20°,June,2020,Islamabad,01-Jun-20
2,29°,23°,June,2020,Islamabad,02-Jun-20
3,33°,21°,June,2020,Islamabad,03-Jun-20
4,34°,20°,June,2020,Islamabad,04-Jun-20
5,35°,23°,June,2020,Islamabad,05-Jun-20
6,31°,23°,June,2020,Islamabad,06-Jun-20
7,34°,24°,June,2020,Islamabad,07-Jun-20
8,36°,25°,June,2020,Islamabad,08-Jun-20
9,34°,25°,June,2020,Islamabad,09-Jun-20
10,36°,25°,June,2020,Islamabad,10-Jun-20
11,36°,26°,June,2020,Islamabad,11-Jun-20
12,36°,25°,June,2020,Islamabad,12-Jun-20
13,36°,23°,June,2020,Islamabad,13-Jun-20
14,38°,25°,June,2020,Islamabad,14-Jun-20
15,40°,26°,June,2020,Islamabad,15-Jun-20
16,40°,25°,June,2020,Islamabad,16-Jun-20
17,41°,26°,June,2020,Islamabad,17-Jun-20
18,41°,24°,June,2020,Islamabad,18-Jun-20
19,37°,26°,June,2020,Islamabad,19-Jun-20
20,40°,25°,June,2020,Islamabad,20-Jun-20
21,39°,27°,June,2020,Islamabad,21-Jun-20
22,39°,27°,June,2020,Islamabad,22-Jun-20
23,37°,25°,June,2020,Islamabad,23-Jun-20
24,34°,24°,June,2020,Islamabad,24-Jun-20
25,36°,23°,June,2020,Islamabad,25-Jun-20
26,33°,26°,June,2020,Islamabad,26-Jun-20
27,38°,26°,June,2020,Islamabad,27-Jun-20
28,38°,25°,June,2020,Islamabad,28-Jun-20
29,37°,23°,June,2020,Islamabad,29-Jun-20
30,39°,26°,June,2020,Islamabad,30-Jun-20
1,39°,29°,July,2020,Islamabad,01-Jul-20
2,41°,29°,July,2020,Islamabad,02-Jul-20
3,42°,27°,July,2020,Islamabad,03-Jul-20
4,32°,25°,July,2020,Islamabad,04-Jul-20
5,35°,19°,July,2020,Islamabad,05-Jul-20
6,37°,26°,July,2020,Islamabad,06-Jul-20
7,39°,27°,July,2020,Islamabad,07-Jul-20
8,37°,27°,July,2020,Islamabad,08-Jul-20
9,38°,28°,July,2020,Islamabad,09-Jul-20
10,35°,29°,July,2020,Islamabad,10-Jul-20
11,38°,27°,July,2020,Islamabad,11-Jul-20
12,35°,20°,July,2020,Islamabad,12-Jul-20
13,37°,26°,July,2020,Islamabad,13-Jul-20
14,39°,27°,July,2020,Islamabad,14-Jul-20
15,36°,27°,July,2020,Islamabad,15-Jul-20
16,37°,26°,July,2020,Islamabad,16-Jul-20
17,37°,28°,July,2020,Islamabad,17-Jul-20
18,38°,27°,July,2020,Islamabad,18-Jul-20
19,37°,27°,July,2020,Islamabad,19-Jul-20
20,35°,26°,July,2020,Islamabad,20-Jul-20
21,29°,21°,July,2020,Islamabad,21-Jul-20
22,35°,23°,July,2020,Islamabad,22-Jul-20
23,36°,21°,July,2020,Islamabad,23-Jul-20
24,37°,28°,July,2020,Islamabad,24-Jul-20
25,34°,23°,July,2020,Islamabad,25-Jul-20
26,33°,22°,July,2020,Islamabad,26-Jul-20
27,37°,27°,July,2020,Islamabad,27-Jul-20
28,39°,28°,July,2020,Islamabad,28-Jul-20
