date,high,low,Months,Year,City,datee
3,31°,20°,June,2021,Islamabad,03-Jun-21
4,36°,23°,June,2021,Islamabad,04-Jun-21
5,36°,27°,June,2021,Islamabad,05-Jun-21
6,38°,26°,June,2021,Islamabad,06-Jun-21
7,39°,28°,June,2021,Islamabad,07-Jun-21
8,42°,28°,June,2021,Islamabad,08-Jun-21
9,42°,29°,June,2021,Islamabad,09-Jun-21
10,44°,30°,June,2021,Islamabad,10-Jun-21
11,41°,25°,June,2021,Islamabad,11-Jun-21
12,39°,26°,June,2021,Islamabad,12-Jun-21
13,33°,17°,June,2021,Islamabad,13-Jun-21
14,36°,23°,June,2021,Islamabad,14-Jun-21
15,35°,20°,June,2021,Islamabad,15-Jun-21
16,33°,20°,June,2021,Islamabad,16-Jun-21
17,33°,20°,June,2021,Islamabad,17-Jun-21
18,37°,23°,June,2021,Islamabad,18-Jun-21
19,38°,24°,June,2021,Islamabad,19-Jun-21
20,35°,26°,June,2021,Islamabad,20-Jun-21
21,37°,23°,June,2021,Islamabad,21-Jun-21
22,39°,25°,June,2021,Islamabad,22-Jun-21
23,40°,26°,June,2021,Islamabad,23-Jun-21
24,38°,29°,June,2021,Islamabad,24-Jun-21
25,38°,23°,June,2021,Islamabad,25-Jun-21
26,34°,21°,June,2021,Islamabad,26-Jun-21
27,38°,25°,June,2021,Islamabad,27-Jun-21
28,39°,25°,June,2021,Islamabad,28-Jun-21
29,41°,26°,June,2021,Islamabad,29-Jun-21
30,42°,28°,June,2021,Islamabad,30-Jun-21
1,42°,29°,July,2021,Islamabad,01-Jul-21
2,41°,24°,July,2021,Islamabad,02-Jul-21
3,38°,23°,July,2021,Islamabad,03-Jul-21
4,39°,24°,July,2021,Islamabad,04-Jul-21
5,35°,24°,July,2021,Islamabad,05-Jul-21
6,39°,26°,July,2021,Islamabad,06-Jul-21
7,40°,27°,July,2021,Islamabad,07-Jul-21
8,40°,27°,July,2021,Islamabad,08-Jul-21
9,37°,30°,July,2021,Islamabad,09-Jul-21
10,35°,24°,July,2021,Islamabad,10-Jul-21
11,36°,29°,July,2021,Islamabad,11-Jul-21
12,31°,22°,July,2021,Islamabad,12-Jul-21
13,32°,22°,July,2021,Islamabad,13-Jul-21
14,33°,23°,July,2021,Islamabad,14-Jul-21
15,35°,24°,July,2021,Islamabad,15-Jul-21
16,35°,27°,July,2021,Islamabad,16-Jul-21
17,38°,29°,July,2021,Islamabad,17-Jul-21
18,39°,29°,July,2021,Islamabad,18-Jul-21
19,33°,22°,July,2021,Islamabad,19-Jul-21
20,29°,24°,July,2021,Islamabad,20-Jul-21
21,32°,26°,July,2021,Islamabad,21-Jul-21
22,35°,25°,July,2021,Islamabad,22-Jul-21
23,37°,26°,July,2021,Islamabad,23-Jul-21
24,38°,28°,July,2021,Islamabad,24-Jul-21
25,38°,28°,July,2021,Islamabad,25-Jul-21
26,31°,28°,July,2021,Islamabad,26-Jul-21
27,30°,28°,July,2021,Islamabad,27-Jul-21
28,30°,23°,July,2021,Islamabad,28-Jul-21
29,32°,24°,July,2021,Islamabad,29-Jul-21
30,30°,25°,July,2021,Islamabad,30-Jul-21
31,31°,24°,July,2021,Islamabad,31-Jul-21
1,34°,24°,August,2021,Islamabad,01-Aug-21
2,34°,23°,August,2021,Islamabad,02-Aug-21
3,36°,26°,August,2021,Islamabad,03-Aug-21
4,33°,25°,August,2021,Islamabad,04-Aug-21
5,35°,24°,August,2021,Islamabad,05-Aug-21
6,32°,24°,August,2021,Islamabad,06-Aug-21
7,36°,27°,August,2021,Islamabad,07-Aug-21
8,33°,27°,August,2021,Islamabad,08-Aug-21
9,34°,24°,August,2021,Islamabad,09-Aug-21
10,35°,25°,August,2021,Islamabad,10-Aug-21
11,35°,26°,August,2021,Islamabad,11-Aug-21
12,35°,26°,August,2021,Islamabad,12-Aug-21
13,37°,23°,August,2021,Islamabad,13-Aug-21
14,31°,23°,August,2021,Islamabad,14-Aug-21
15,32°,20°,August,2021,Islamabad,15-Aug-21
16,35°,22°,August,2021,Islamabad,16-Aug-21
17,35°,23°,August,2021,Islamabad,17-Aug-21
18,38°,25°,August,2021,Islamabad,18-Aug-21
19,38°,25°,August,2021,Islamabad,19-Aug-21
20,37°,25°,August,2021,Islamabad,20-Aug-21
21,34°,23°,August,2021,Islamabad,21-Aug-21
22,34°,25°,August,2021,Islamabad,22-Aug-21
23,36°,26°,August,2021,Islamabad,23-Aug-21
24,37°,29°,August,2021,Islamabad,24-Aug-21
25,37°,27°,August,2021,Islamabad,25-Aug-21
26,37°,28°,August,2021,Islamabad,26-Aug-21
27,36°,28°,August,2021,Islamabad,27-Aug-21
28,32°,22°,August,2021,Islamabad,28-Aug-21
29,31°,22°,August,2021,Islamabad,29-Aug-21
30,32°,24°,August,2021,Islamabad,30-Aug-21
31,31°,20°,August,2021,Islamabad,31-Aug-21
1,34°,23°,September,2021,Islamabad,01-Sep-21
2,35°,23°,September,2021,Islamabad,02-Sep-21
3,36°,24°,September,2021,Islamabad,03-Sep-21
4,34°,23°,September,2021,Islamabad,04-Sep-21
5,35°,25°,September,2021,Islamabad,05-Sep-21
6,37°,26°,September,2021,Islamabad,06-Sep-21
7,35°,24°,September,2021,Islamabad,07-Sep-21
8,29°,23°,September,2021,Islamabad,08-Sep-21
9,31°,24°,September,2021,Islamabad,09-Sep-21
10,31°,24°,September,2021,Islamabad,10-Sep-21
11,30°,23°,September,2021,Islamabad,11-Sep-21
12,32°,23°,September,2021,Islamabad,12-Sep-21
13,34°,24°,September,2021,Islamabad,13-Sep-21
14,34°,24°,September,2021,Islamabad,14-Sep-21
15,35°,28°,September,2021,Islamabad,15-Sep-21
16,35°,25°,September,2021,Islamabad,16-Sep-21
17,31°,25°,September,2021,Islamabad,17-Sep-21
18,33°,26°,September,2021,Islamabad,18-Sep-21
19,35°,27°,September,2021,Islamabad,19-Sep-21
20,34°,23°,September,2021,Islamabad,20-Sep-21
21,30°,22°,September,2021,Islamabad,21-Sep-21
22,31°,23°,September,2021,Islamabad,22-Sep-21
23,31°,20°,September,2021,Islamabad,23-Sep-21
24,33°,23°,September,2021,Islamabad,24-Sep-21
25,33°,27°,September,2021,Islamabad,25-Sep-21
26,33°,24°,September,2021,Islamabad,26-Sep-21
27,34°,26°,September,2021,Islamabad,27-Sep-21
28,35°,26°,September,2021,Islamabad,28-Sep-21
29,34°,25°,September,2021,Islamabad,29-Sep-21
30,33°,25°,September,2021,Islamabad,30-Sep-21
1,32°,25°,October ,2021,Islamabad,01-Oct-21
2,31°,18°,October ,2021,Islamabad,02-Oct-21
3,32°,19°,October ,2021,Islamabad,03-Oct-21
4,32°,24°,October ,2021,Islamabad,04-Oct-21
5,32°,20°,October ,2021,Islamabad,05-Oct-21
6,32°,20°,October ,2021,Islamabad,06-Oct-21
7,33°,19°,October ,2021,Islamabad,07-Oct-21
8,32°,22°,October ,2021,Islamabad,08-Oct-21
9,33°,22°,October ,2021,Islamabad,09-Oct-21
10,31°,21°,October ,2021,Islamabad,10-Oct-21
11,30°,20°,October ,2021,Islamabad,11-Oct-21
12,31°,20°,October ,2021,Islamabad,12-Oct-21
13,30°,20°,October ,2021,Islamabad,13-Oct-21
14,31°,17°,October ,2021,Islamabad,14-Oct-21
15,33°,18°,October ,2021,Islamabad,15-Oct-21
16,32°,19°,October ,2021,Islamabad,16-Oct-21
17,28°,21°,October ,2021,Islamabad,17-Oct-21
18,27°,17°,October ,2021,Islamabad,18-Oct-21
19,29°,16°,October ,2021,Islamabad,19-Oct-21
20,31°,19°,October ,2021,Islamabad,20-Oct-21
21,30°,17°,October ,2021,Islamabad,21-Oct-21
22,28°,17°,October ,2021,Islamabad,22-Oct-21
23,25°,16°,October ,2021,Islamabad,23-Oct-21
24,20°,14°,October ,2021,Islamabad,24-Oct-21
25,23°,13°,October ,2021,Islamabad,25-Oct-21
26,24°,11°,October ,2021,Islamabad,26-Oct-21
27,26°,16°,October ,2021,Islamabad,27-Oct-21
28,26°,13°,October ,2021,Islamabad,28-Oct-21
29,27°,13°,October ,2021,Islamabad,29-Oct-21
30,27°,13°,October ,2021,Islamabad,30-Oct-21
31,26°,12°,October ,2021,Islamabad,31-Oct-21
1,25°,14°,November,2021,Islamabad,01-Nov-21
2,25°,14°,November,2021,Islamabad,02-Nov-21
3,25°,13°,November,2021,Islamabad,03-Nov-21
4,26°,13°,November,2021,Islamabad,04-Nov-21
5,23°,15°,November,2021,Islamabad,05-Nov-21
6,25°,12°,November,2021,Islamabad,06-Nov-21
7,26°,11°,November,2021,Islamabad,07-Nov-21
8,26°,11°,November,2021,Islamabad,08-Nov-21
9,27°,14°,November,2021,Islamabad,09-Nov-21
10,27°,13°,November,2021,Islamabad,10-Nov-21
11,27°,11°,November,2021,Islamabad,11-Nov-21
12,26°,11°,November,2021,Islamabad,12-Nov-21
13,26°,11°,November,2021,Islamabad,13-Nov-21
14,25°,10°,November,2021,Islamabad,14-Nov-21
15,24°,12°,November,2021,Islamabad,15-Nov-21
16,23°,8°,November,2021,Islamabad,16-Nov-21
17,24°,8°,November,2021,Islamabad,17-Nov-21
18,24°,10°,November,2021,Islamabad,18-Nov-21
19,24°,8°,November,2021,Islamabad,19-Nov-21
20,24°,9°,November,2021,Islamabad,20-Nov-21
21,24°,9°,November,2021,Islamabad,21-Nov-21
22,25°,7°,November,2021,Islamabad,22-Nov-21
23,24°,8°,November,2021,Islamabad,23-Nov-21
24,24°,10°,November,2021,Islamabad,24-Nov-21
25,23°,9°,November,2021,Islamabad,25-Nov-21
26,23°,9°,November,2021,Islamabad,26-Nov-21
27,23°,11°,November,2021,Islamabad,27-Nov-21
28,22°,10°,November,2021,Islamabad,28-Nov-21
29,23°,9°,November,2021,Islamabad,29-Nov-21
30,23°,8°,November,2021,Islamabad,30-Nov-21
1,22°,8°,December,2021,Islamabad,01-Dec-21
2,22°,12°,December,2021,Islamabad,02-Dec-21
3,22°,8°,December,2021,Islamabad,03-Dec-21
4,23°,9°,December,2021,Islamabad,04-Dec-21
5,18°,10°,December,2021,Islamabad,05-Dec-21
6,20°,10°,December,2021,Islamabad,06-Dec-21
7,21°,6°,December,2021,Islamabad,07-Dec-21
8,22°,7°,December,2021,Islamabad,08-Dec-21
9,22°,8°,December,2021,Islamabad,09-Dec-21
10,22°,7°,December,2021,Islamabad,10-Dec-21
11,21°,5°,December,2021,Islamabad,11-Dec-21
12,19°,5°,December,2021,Islamabad,12-Dec-21
13,19°,6°,December,2021,Islamabad,13-Dec-21
14,17°,5°,December,2021,Islamabad,14-Dec-21
15,17°,4°,December,2021,Islamabad,15-Dec-21
16,17°,3°,December,2021,Islamabad,16-Dec-21
17,17°,2°,December,2021,Islamabad,17-Dec-21
18,17°,2°,December,2021,Islamabad,18-Dec-21
19,18°,4°,December,2021,Islamabad,19-Dec-21
20,18°,6°,December,2021,Islamabad,20-Dec-21
21,19°,6°,December,2021,Islamabad,21-Dec-21
22,20°,8°,December,2021,Islamabad,22-Dec-21
23,19°,9°,December,2021,Islamabad,23-Dec-21
24,19°,8°,December,2021,Islamabad,24-Dec-21
25,19°,8°,December,2021,Islamabad,25-Dec-21
26,18°,8°,December,2021,Islamabad,26-Dec-21
27,17°,2°,December,2021,Islamabad,27-Dec-21
28,16°,5°,December,2021,Islamabad,28-Dec-21
29,16°,5°,December,2021,Islamabad,29-Dec-21
30,16°,3°,December,2021,Islamabad,30-Dec-21
31,16°,2°,December,2021,Islamabad,31-Dec-21
1,16°,1°,January,2022,Islamabad,01-Jan-22
2,16°,1°,January,2022,Islamabad,02-Jan-22
3,17°,2°,January,2022,Islamabad,03-Jan-22
4,16°,1°,January,2022,Islamabad,04-Jan-22
5,16°,1°,January,2022,Islamabad,05-Jan-22
6,16°,1°,January,2022,Islamabad,06-Jan-22
7,16°,1°,January,2022,Islamabad,07-Jan-22
8,16°,1°,January,2022,Islamabad,08-Jan-22
9,21°,5°,January,2022,Islamabad,09-Jan-22
10,21°,4°,January,2022,Islamabad,10-Jan-22
11,20°,3°,January,2022,Islamabad,11-Jan-22
12,20°,3°,January,2022,Islamabad,12-Jan-22
13,20°,4°,January,2022,Islamabad,13-Jan-22
14,19°,5°,January,2022,Islamabad,14-Jan-22
15,19°,5°,January,2022,Islamabad,15-Jan-22
16,20°,4°,January,2022,Islamabad,16-Jan-22
17,19°,3°,January,2022,Islamabad,17-Jan-22
18,19°,1°,January,2022,Islamabad,18-Jan-22
19,17°,1°,January,2022,Islamabad,19-Jan-22
20,17°,2°,January,2022,Islamabad,20-Jan-22
21,18°,3°,January,2022,Islamabad,21-Jan-22
22,18°,3°,January,2022,Islamabad,22-Jan-22
23,18°,4°,January,2022,Islamabad,23-Jan-22
24,18°,3°,January,2022,Islamabad,24-Jan-22
25,19°,4°,January,2022,Islamabad,25-Jan-22
26,19°,4°,January,2022,Islamabad,26-Jan-22
27,20°,3°,January,2022,Islamabad,27-Jan-22
28,20°,3°,January,2022,Islamabad,28-Jan-22
29,20°,3°,January,2022,Islamabad,29-Jan-22
30,21°,3°,January,2022,Islamabad,30-Jan-22
31,21°,3°,January,2022,Islamabad,31-Jan-22
1,20°,4°,February,2022,Islamabad,01-Feb-22
2,20°,5°,February,2022,Islamabad,02-Feb-22
3,20°,5°,February,2022,Islamabad,03-Feb-22
4,20°,7°,February,2022,Islamabad,04-Feb-22
5,20°,7°,February,2022,Islamabad,05-Feb-22
6,18°,3°,February,2022,Islamabad,06-Feb-22
7,18°,3°,February,2022,Islamabad,07-Feb-22
8,18°,4°,February,2022,Islamabad,08-Feb-22
9,18°,3°,February,2022,Islamabad,09-Feb-22
10,18°,4°,February,2022,Islamabad,10-Feb-22
11,18°,3°,February,2022,Islamabad,11-Feb-22
12,18°,3°,February,2022,Islamabad,12-Feb-22
13,19°,4°,February,2022,Islamabad,13-Feb-22
14,19°,7°,February,2022,Islamabad,14-Feb-22
15,21°,8°,February,2022,Islamabad,15-Feb-22
16,20°,7°,February,2022,Islamabad,16-Feb-22
17,22°,8°,February,2022,Islamabad,17-Feb-22
18,22°,9°,February,2022,Islamabad,18-Feb-22
19,22°,8°,February,2022,Islamabad,19-Feb-22
20,22°,9°,February,2022,Islamabad,20-Feb-22
21,22°,7°,February,2022,Islamabad,21-Feb-22
22,20°,7°,February,2022,Islamabad,22-Feb-22
23,20°,6°,February,2022,Islamabad,23-Feb-22
24,20°,6°,February,2022,Islamabad,24-Feb-22
25,21°,7°,February,2022,Islamabad,25-Feb-22
26,20°,9°,February,2022,Islamabad,26-Feb-22
27,23°,9°,February,2022,Islamabad,27-Feb-22
28,21°,9°,February,2022,Islamabad,28-Feb-22
1,20°,8°,March,2022,Islamabad,01-Mar-22
2,20°,6°,March,2022,Islamabad,02-Mar-22
3,22°,8°,March,2022,Islamabad,03-Mar-22
4,22°,10°,March,2022,Islamabad,04-Mar-22
5,23°,8°,March,2022,Islamabad,05-Mar-22
6,21°,9°,March,2022,Islamabad,06-Mar-22
7,23°,10°,March,2022,Islamabad,07-Mar-22
8,22°,8°,March,2022,Islamabad,08-Mar-22
9,22°,8°,March,2022,Islamabad,09-Mar-22
10,23°,8°,March,2022,Islamabad,10-Mar-22
11,22°,9°,March,2022,Islamabad,11-Mar-22
12,23°,9°,March,2022,Islamabad,12-Mar-22
13,25°,10°,March,2022,Islamabad,13-Mar-22
14,22°,10°,March,2022,Islamabad,14-Mar-22
15,22°,10°,March,2022,Islamabad,15-Mar-22
16,22°,10°,March,2022,Islamabad,16-Mar-22
17,23°,10°,March,2022,Islamabad,17-Mar-22
18,23°,11°,March,2022,Islamabad,18-Mar-22
19,23°,11°,March,2022,Islamabad,19-Mar-22
20,23°,11°,March,2022,Islamabad,20-Mar-22
21,23°,11°,March,2022,Islamabad,21-Mar-22
22,24°,11°,March,2022,Islamabad,22-Mar-22
23,24°,11°,March,2022,Islamabad,23-Mar-22
24,24°,11°,March,2022,Islamabad,24-Mar-22
25,24°,12°,March,2022,Islamabad,25-Mar-22
26,24°,12°,March,2022,Islamabad,26-Mar-22
27,25°,12°,March,2022,Islamabad,27-Mar-22
28,25°,12°,March,2022,Islamabad,28-Mar-22
29,25°,12°,March,2022,Islamabad,29-Mar-22
30,25°,12°,March,2022,Islamabad,30-Mar-22
31,25°,12°,March,2022,Islamabad,31-Mar-22
1,26°,13°,April,2022,Islamabad,01-Apr-22
2,26°,13°,April,2022,Islamabad,02-Apr-22
3,26°,13°,April,2022,Islamabad,03-Apr-22
4,26°,13°,April,2022,Islamabad,04-Apr-22
5,27°,13°,April,2022,Islamabad,05-Apr-22
6,27°,13°,April,2022,Islamabad,06-Apr-22
7,27°,13°,April,2022,Islamabad,07-Apr-22
8,27°,14°,April,2022,Islamabad,08-Apr-22
9,27°,14°,April,2022,Islamabad,09-Apr-22
10,28°,14°,April,2022,Islamabad,10-Apr-22
11,28°,14°,April,2022,Islamabad,11-Apr-22
12,28°,14°,April,2022,Islamabad,12-Apr-22
13,28°,14°,April,2022,Islamabad,13-Apr-22
14,28°,14°,April,2022,Islamabad,14-Apr-22
15,29°,15°,April,2022,Islamabad,15-Apr-22
16,29°,15°,April,2022,Islamabad,16-Apr-22
17,29°,15°,April,2022,Islamabad,17-Apr-22
18,29°,15°,April,2022,Islamabad,18-Apr-22
19,29°,15°,April,2022,Islamabad,19-Apr-22
20,30°,15°,April,2022,Islamabad,20-Apr-22
21,30°,16°,April,2022,Islamabad,21-Apr-22
22,30°,16°,April,2022,Islamabad,22-Apr-22
23,30°,16°,April,2022,Islamabad,23-Apr-22
24,30°,16°,April,2022,Islamabad,24-Apr-22
25,30°,16°,April,2022,Islamabad,25-Apr-22
26,31°,16°,April,2022,Islamabad,26-Apr-22
27,31°,16°,April,2022,Islamabad,27-Apr-22
28,31°,17°,April,2022,Islamabad,28-Apr-22
29,31°,17°,April,2022,Islamabad,29-Apr-22
30,31°,17°,April,2022,Islamabad,30-Apr-22
1,31°,17°,May,2022,Islamabad,01-May-22
2,32°,17°,May,2022,Islamabad,02-May-22
3,32°,17°,May,2022,Islamabad,03-May-22
4,32°,17°,May,2022,Islamabad,04-May-22
5,32°,18°,May,2022,Islamabad,05-May-22
6,32°,18°,May,2022,Islamabad,06-May-22
7,32°,18°,May,2022,Islamabad,07-May-22
8,33°,18°,May,2022,Islamabad,08-May-22
9,33°,18°,May,2022,Islamabad,09-May-22
10,33°,18°,May,2022,Islamabad,10-May-22
11,33°,18°,May,2022,Islamabad,11-May-22
12,33°,19°,May,2022,Islamabad,12-May-22
13,34°,19°,May,2022,Islamabad,13-May-22
14,34°,19°,May,2022,Islamabad,14-May-22
15,34°,19°,May,2022,Islamabad,15-May-22
16,34°,19°,May,2022,Islamabad,16-May-22
17,34°,19°,May,2022,Islamabad,17-May-22
18,35°,19°,May,2022,Islamabad,18-May-22
19,35°,19°,May,2022,Islamabad,19-May-22
20,35°,20°,May,2022,Islamabad,20-May-22
21,35°,20°,May,2022,Islamabad,21-May-22
22,35°,20°,May,2022,Islamabad,22-May-22
23,35°,20°,May,2022,Islamabad,23-May-22
24,36°,20°,May,2022,Islamabad,24-May-22
25,36°,20°,May,2022,Islamabad,25-May-22
26,36°,20°,May,2022,Islamabad,26-May-22
27,36°,20°,May,2022,Islamabad,27-May-22
28,36°,21°,May,2022,Islamabad,28-May-22
29,37°,21°,May,2022,Islamabad,29-May-22
30,37°,21°,May,2022,Islamabad,30-May-22
31,37°,21°,May,2022,Islamabad,31-May-22
1,37°,21°,June,2022,Islamabad,01-Jun-22
2,37°,21°,June,2022,Islamabad,02-Jun-22
3,37°,21°,June,2022,Islamabad,03-Jun-22
4,37°,21°,June,2022,Islamabad,04-Jun-22
5,37°,21°,June,2022,Islamabad,05-Jun-22
6,38°,22°,June,2022,Islamabad,06-Jun-22
7,38°,22°,June,2022,Islamabad,07-Jun-22
8,38°,22°,June,2022,Islamabad,08-Jun-22
9,38°,22°,June,2022,Islamabad,09-Jun-22
10,38°,22°,June,2022,Islamabad,10-Jun-22
11,38°,22°,June,2022,Islamabad,11-Jun-22
12,38°,22°,June,2022,Islamabad,12-Jun-22
13,38°,22°,June,2022,Islamabad,13-Jun-22
14,38°,22°,June,2022,Islamabad,14-Jun-22
15,38°,22°,June,2022,Islamabad,15-Jun-22
16,38°,22°,June,2022,Islamabad,16-Jun-22
17,38°,22°,June,2022,Islamabad,17-Jun-22
18,38°,23°,June,2022,Islamabad,18-Jun-22
19,38°,23°,June,2022,Islamabad,19-Jun-22
20,37°,23°,June,2022,Islamabad,20-Jun-22
21,37°,23°,June,2022,Islamabad,21-Jun-22
22,37°,23°,June,2022,Islamabad,22-Jun-22
23,37°,23°,June,2022,Islamabad,23-Jun-22
24,37°,23°,June,2022,Islamabad,24-Jun-22
25,37°,23°,June,2022,Islamabad,25-Jun-22
26,37°,23°,June,2022,Islamabad,26-Jun-22
27,36°,23°,June,2022,Islamabad,27-Jun-22
28,36°,23°,June,2022,Islamabad,28-Jun-22
29,36°,23°,June,2022,Islamabad,29-Jun-22
30,36°,23°,June,2022,Islamabad,30-Jun-22
1,36°,23°,July,2022,Islamabad,01-Jul-22
2,36°,23°,July,2022,Islamabad,02-Jul-22
3,35°,23°,July,2022,Islamabad,03-Jul-22
4,35°,23°,July,2022,Islamabad,04-Jul-22
5,35°,23°,July,2022,Islamabad,05-Jul-22
6,35°,23°,July,2022,Islamabad,06-Jul-22
7,35°,23°,July,2022,Islamabad,07-Jul-22
8,34°,23°,July,2022,Islamabad,08-Jul-22
9,34°,23°,July,2022,Islamabad,09-Jul-22
10,34°,23°,July,2022,Islamabad,10-Jul-22
11,34°,23°,July,2022,Islamabad,11-Jul-22
12,34°,23°,July,2022,Islamabad,12-Jul-22
13,34°,23°,July,2022,Islamabad,13-Jul-22
14,34°,24°,July,2022,Islamabad,14-Jul-22
15,33°,24°,July,2022,Islamabad,15-Jul-22
16,33°,24°,July,2022,Islamabad,16-Jul-22
17,33°,24°,July,2022,Islamabad,17-Jul-22
18,33°,24°,July,2022,Islamabad,18-Jul-22
19,33°,24°,July,2022,Islamabad,19-Jul-22
20,33°,24°,July,2022,Islamabad,20-Jul-22
21,33°,24°,July,2022,Islamabad,21-Jul-22
22,33°,24°,July,2022,Islamabad,22-Jul-22
23,33°,23°,July,2022,Islamabad,23-Jul-22
24,33°,23°,July,2022,Islamabad,24-Jul-22
25,32°,23°,July,2022,Islamabad,25-Jul-22
26,32°,23°,July,2022,Islamabad,26-Jul-22
27,32°,23°,July,2022,Islamabad,27-Jul-22
28,32°,23°,July,2022,Islamabad,28-Jul-22
29,32°,23°,July,2022,Islamabad,29-Jul-22
30,32°,23°,July,2022,Islamabad,30-Jul-22
31,32°,23°,July,2022,Islamabad,31-Jul-22
1,,23°,August,2022,Islamabad,01-Aug-22
2,,23°,August,2022,Islamabad,02-Aug-22
3,,23°,August,2022,Islamabad,03-Aug-22
4,,23°,August,2022,Islamabad,04-Aug-22
5,,23°,August,2022,Islamabad,05-Aug-22
6,,23°,August,2022,Islamabad,06-Aug-22
7,,23°,August,2022,Islamabad,07-Aug-22
8,,23°,August,2022,Islamabad,08-Aug-22
9,,23°,August,2022,Islamabad,09-Aug-22
10,,23°,August,2022,Islamabad,10-Aug-22
11,,23°,August,2022,Islamabad,11-Aug-22
12,,23°,August,2022,Islamabad,12-Aug-22
13,,23°,August,2022,Islamabad,13-Aug-22
14,,23°,August,2022,Islamabad,14-Aug-22
15,,23°,August,2022,Islamabad,15-Aug-22
16,,23°,August,2022,Islamabad,16-Aug-22
17,,23°,August,2022,Islamabad,17-Aug-22
18,,23°,August,2022,Islamabad,18-Aug-22
19,,23°,August,2022,Islamabad,19-Aug-22
20,,23°,August,2022,Islamabad,20-Aug-22
21,,23°,August,2022,Islamabad,21-Aug-22
22,,22°,August,2022,Islamabad,22-Aug-22
23,,22°,August,2022,Islamabad,23-Aug-22
24,,22°,August,2022,Islamabad,24-Aug-22
25,,22°,August,2022,Islamabad,25-Aug-22
26,,22°,August,2022,Islamabad,26-Aug-22
27,,22°,August,2022,Islamabad,27-Aug-22
28,,22°,August,2022,Islamabad,28-Aug-22
29,,22°,August,2022,Islamabad,29-Aug-22
30,,22°,August,2022,Islamabad,30-Aug-22
31,,22°,August,2022,Islamabad,31-Aug-22
1,32°,22°,September,2022,Islamabad,01-Sep-22
2,32°,22°,September,2022,Islamabad,02-Sep-22
3,32°,21°,September,2022,Islamabad,03-Sep-22
4,32°,21°,September,2022,Islamabad,04-Sep-22
5,32°,21°,September,2022,Islamabad,05-Sep-22
6,32°,21°,September,2022,Islamabad,06-Sep-22
7,32°,21°,September,2022,Islamabad,07-Sep-22
8,32°,21°,September,2022,Islamabad,08-Sep-22
9,32°,21°,September,2022,Islamabad,09-Sep-22
10,32°,21°,September,2022,Islamabad,10-Sep-22
11,32°,21°,September,2022,Islamabad,11-Sep-22
12,32°,20°,September,2022,Islamabad,12-Sep-22
13,32°,20°,September,2022,Islamabad,13-Sep-22
14,32°,20°,September,2022,Islamabad,14-Sep-22
15,32°,20°,September,2022,Islamabad,15-Sep-22
16,32°,20°,September,2022,Islamabad,16-Sep-22
17,32°,20°,September,2022,Islamabad,17-Sep-22
18,32°,19°,September,2022,Islamabad,18-Sep-22
19,32°,19°,September,2022,Islamabad,19-Sep-22
20,32°,19°,September,2022,Islamabad,20-Sep-22
21,32°,19°,September,2022,Islamabad,21-Sep-22
22,32°,19°,September,2022,Islamabad,22-Sep-22
23,32°,18°,September,2022,Islamabad,23-Sep-22
24,32°,18°,September,2022,Islamabad,24-Sep-22
25,32°,18°,September,2022,Islamabad,25-Sep-22
26,32°,18°,September,2022,Islamabad,26-Sep-22
27,31°,18°,September,2022,Islamabad,27-Sep-22
28,31°,17°,September,2022,Islamabad,28-Sep-22
29,31°,17°,September,2022,Islamabad,29-Sep-22
30,31°,17°,September,2022,Islamabad,30-Sep-22
1,31°,17°,October ,2022,Islamabad,01-Oct-22
2,31°,16°,October ,2022,Islamabad,02-Oct-22
3,31°,16°,October ,2022,Islamabad,03-Oct-22
4,31°,16°,October ,2022,Islamabad,04-Oct-22
5,31°,16°,October ,2022,Islamabad,05-Oct-22
6,31°,15°,October ,2022,Islamabad,06-Oct-22
7,30°,15°,October ,2022,Islamabad,07-Oct-22
8,30°,15°,October ,2022,Islamabad,08-Oct-22
9,30°,15°,October ,2022,Islamabad,09-Oct-22
10,30°,15°,October ,2022,Islamabad,10-Oct-22
11,30°,14°,October ,2022,Islamabad,11-Oct-22
12,30°,14°,October ,2022,Islamabad,12-Oct-22
13,30°,14°,October ,2022,Islamabad,13-Oct-22
14,30°,14°,October ,2022,Islamabad,14-Oct-22
15,29°,13°,October ,2022,Islamabad,15-Oct-22
16,29°,13°,October ,2022,Islamabad,16-Oct-22
17,29°,13°,October ,2022,Islamabad,17-Oct-22
18,29°,13°,October ,2022,Islamabad,18-Oct-22
19,29°,13°,October ,2022,Islamabad,19-Oct-22
20,29°,12°,October ,2022,Islamabad,20-Oct-22
21,29°,12°,October ,2022,Islamabad,21-Oct-22
22,29°,12°,October ,2022,Islamabad,22-Oct-22
23,28°,12°,October ,2022,Islamabad,23-Oct-22
24,28°,11°,October ,2022,Islamabad,24-Oct-22
25,28°,11°,October ,2022,Islamabad,25-Oct-22
26,28°,11°,October ,2022,Islamabad,26-Oct-22
27,28°,11°,October ,2022,Islamabad,27-Oct-22
28,28°,11°,October ,2022,Islamabad,28-Oct-22
29,28°,10°,October ,2022,Islamabad,29-Oct-22
30,27°,10°,October ,2022,Islamabad,30-Oct-22
31,27°,10°,October ,2022,Islamabad,31-Oct-22
1,27°,10°,November,2022,Islamabad,01-Nov-22
2,27°,10°,November,2022,Islamabad,02-Nov-22
3,27°,10°,November,2022,Islamabad,03-Nov-22
4,27°,9°,November,2022,Islamabad,04-Nov-22
