date,high,low,Month,Year,City,
2,31°,23°,May,2020,Lahore,02-May-20
3,33°,22°,May,2020,Lahore,03-May-20
4,34°,21°,May,2020,Lahore,04-May-20
5,35°,22°,May,2020,Lahore,05-May-20
6,33°,22°,May,2020,Lahore,06-May-20
7,35°,20°,May,2020,Lahore,07-May-20
8,38°,24°,May,2020,Lahore,08-May-20
9,40°,26°,May,2020,Lahore,09-May-20
10,36°,26°,May,2020,Lahore,10-May-20
11,35°,22°,May,2020,Lahore,11-May-20
12,34°,20°,May,2020,Lahore,12-May-20
13,37°,25°,May,2020,Lahore,13-May-20
14,29°,21°,May,2020,Lahore,14-May-20
15,34°,20°,May,2020,Lahore,15-May-20
16,37°,22°,May,2020,Lahore,16-May-20
17,39°,25°,May,2020,Lahore,17-May-20
18,39°,24°,May,2020,Lahore,18-May-20
19,37°,24°,May,2020,Lahore,19-May-20
20,38°,24°,May,2020,Lahore,20-May-20
21,40°,24°,May,2020,Lahore,21-May-20
22,42°,26°,May,2020,Lahore,22-May-20
23,43°,27°,May,2020,Lahore,23-May-20
24,42°,26°,May,2020,Lahore,24-May-20
25,43°,27°,May,2020,Lahore,25-May-20
26,44°,29°,May,2020,Lahore,26-May-20
27,44°,29°,May,2020,Lahore,27-May-20
28,40°,28°,May,2020,Lahore,28-May-20
29,35°,25°,May,2020,Lahore,29-May-20
30,32°,23°,May,2020,Lahore,30-May-20
31,33°,22°,May,2020,Lahore,31-May-20
1,33°,23°,June,2020,Lahore,01-Jun-20
2,34°,22°,June,2020,Lahore,02-Jun-20
3,36°,25°,June,2020,Lahore,03-Jun-20
4,37°,24°,June,2020,Lahore,04-Jun-20
5,38°,25°,June,2020,Lahore,05-Jun-20
6,29°,22°,June,2020,Lahore,06-Jun-20
7,33°,23°,June,2020,Lahore,07-Jun-20
8,39°,25°,June,2020,Lahore,08-Jun-20
9,35°,27°,June,2020,Lahore,09-Jun-20
10,36°,26°,June,2020,Lahore,10-Jun-20
11,37°,27°,June,2020,Lahore,11-Jun-20
12,39°,29°,June,2020,Lahore,12-Jun-20
13,39°,27°,June,2020,Lahore,13-Jun-20
14,41°,28°,June,2020,Lahore,14-Jun-20
15,42°,29°,June,2020,Lahore,15-Jun-20
16,42°,29°,June,2020,Lahore,16-Jun-20
17,41°,30°,June,2020,Lahore,17-Jun-20
18,43°,30°,June,2020,Lahore,18-Jun-20
19,41°,29°,June,2020,Lahore,19-Jun-20
20,41°,28°,June,2020,Lahore,20-Jun-20
21,40°,27°,June,2020,Lahore,21-Jun-20
22,40°,27°,June,2020,Lahore,22-Jun-20
23,38°,28°,June,2020,Lahore,23-Jun-20
24,36°,26°,June,2020,Lahore,24-Jun-20
25,34°,24°,June,2020,Lahore,25-Jun-20
26,37°,26°,June,2020,Lahore,26-Jun-20
27,38°,29°,June,2020,Lahore,27-Jun-20
28,39°,29°,June,2020,Lahore,28-Jun-20
29,34°,22°,June,2020,Lahore,29-Jun-20
30,36°,28°,June,2020,Lahore,30-Jun-20
1,39°,30°,July,2020,Lahore,01-Jul-20
2,40°,30°,July,2020,Lahore,02-Jul-20
3,43°,31°,July,2020,Lahore,03-Jul-20
4,37°,24°,July,2020,Lahore,04-Jul-20
5,34°,24°,July,2020,Lahore,05-Jul-20
6,35°,26°,July,2020,Lahore,06-Jul-20
7,37°,30°,July,2020,Lahore,07-Jul-20
8,34°,27°,July,2020,Lahore,08-Jul-20
9,36°,27°,July,2020,Lahore,09-Jul-20
10,40°,28°,July,2020,Lahore,10-Jul-20
11,35°,24°,July,2020,Lahore,11-Jul-20
12,31°,24°,July,2020,Lahore,12-Jul-20
13,38°,26°,July,2020,Lahore,13-Jul-20
14,39°,28°,July,2020,Lahore,14-Jul-20
15,37°,24°,July,2020,Lahore,15-Jul-20
16,33°,26°,July,2020,Lahore,16-Jul-20
17,33°,28°,July,2020,Lahore,17-Jul-20
18,37°,29°,July,2020,Lahore,18-Jul-20
19,34°,25°,July,2020,Lahore,19-Jul-20
20,33°,24°,July,2020,Lahore,20-Jul-20
21,29°,23°,July,2020,Lahore,21-Jul-20
22,33°,26°,July,2020,Lahore,22-Jul-20
23,36°,27°,July,2020,Lahore,23-Jul-20
24,35°,28°,July,2020,Lahore,24-Jul-20
25,34°,29°,July,2020,Lahore,25-Jul-20
26,35°,28°,July,2020,Lahore,26-Jul-20
27,37°,30°,July,2020,Lahore,27-Jul-20
28,40°,30°,July,2020,Lahore,28-Jul-20
29,37°,26°,July,2020,Lahore,29-Jul-20
30,33°,26°,July,2020,Lahore,30-Jul-20
31,34°,27°,July,2020,Lahore,31-Jul-20
1,31°,26°,August,2020,Lahore,01-Aug-20
2,33°,24°,August,2020,Lahore,02-Aug-20
3,39°,26°,August,2020,Lahore,03-Aug-20
4,37°,28°,August,2020,Lahore,04-Aug-20
5,37°,29°,August,2020,Lahore,05-Aug-20
6,38°,29°,August,2020,Lahore,06-Aug-20
7,35°,31°,August,2020,Lahore,07-Aug-20
8,37°,28°,August,2020,Lahore,08-Aug-20
9,36°,27°,August,2020,Lahore,09-Aug-20
10,32°,25°,August,2020,Lahore,10-Aug-20
11,35°,29°,August,2020,Lahore,11-Aug-20
12,38°,30°,August,2020,Lahore,12-Aug-20
13,36°,29°,August,2020,Lahore,13-Aug-20
14,33°,28°,August,2020,Lahore,14-Aug-20
15,35°,28°,August,2020,Lahore,15-Aug-20
16,37°,30°,August,2020,Lahore,16-Aug-20
17,34°,29°,August,2020,Lahore,17-Aug-20
18,36°,29°,August,2020,Lahore,18-Aug-20
19,34°,26°,August,2020,Lahore,19-Aug-20
20,28°,24°,August,2020,Lahore,20-Aug-20
21,30°,26°,August,2020,Lahore,21-Aug-20
22,36°,25°,August,2020,Lahore,22-Aug-20
23,34°,27°,August,2020,Lahore,23-Aug-20
24,34°,28°,August,2020,Lahore,24-Aug-20
25,33°,27°,August,2020,Lahore,25-Aug-20
26,33°,28°,August,2020,Lahore,26-Aug-20
27,32°,25°,August,2020,Lahore,27-Aug-20
28,30°,23°,August,2020,Lahore,28-Aug-20
29,33°,27°,August,2020,Lahore,29-Aug-20
30,34°,27°,August,2020,Lahore,30-Aug-20
31,32°,28°,August,2020,Lahore,31-Aug-20
1,31°,26°,September,2020,Lahore,01-Sep-20
2,34°,27°,September,2020,Lahore,02-Sep-20
3,33°,25°,September,2020,Lahore,03-Sep-20
4,26°,23°,September,2020,Lahore,04-Sep-20
5,32°,25°,September,2020,Lahore,05-Sep-20
6,33°,27°,September,2020,Lahore,06-Sep-20
7,36°,25°,September,2020,Lahore,07-Sep-20
8,36°,27°,September,2020,Lahore,08-Sep-20
9,35°,27°,September,2020,Lahore,09-Sep-20
10,36°,29°,September,2020,Lahore,10-Sep-20
11,38°,26°,September,2020,Lahore,11-Sep-20
12,39°,27°,September,2020,Lahore,12-Sep-20
13,37°,27°,September,2020,Lahore,13-Sep-20
14,38°,27°,September,2020,Lahore,14-Sep-20
15,37°,30°,September,2020,Lahore,15-Sep-20
16,37°,29°,September,2020,Lahore,16-Sep-20
17,38°,28°,September,2020,Lahore,17-Sep-20
18,38°,28°,September,2020,Lahore,18-Sep-20
19,38°,28°,September,2020,Lahore,19-Sep-20
20,38°,28°,September,2020,Lahore,20-Sep-20
21,38°,27°,September,2020,Lahore,21-Sep-20
22,37°,27°,September,2020,Lahore,22-Sep-20
23,38°,27°,September,2020,Lahore,23-Sep-20
24,37°,27°,September,2020,Lahore,24-Sep-20
25,38°,27°,September,2020,Lahore,25-Sep-20
26,35°,25°,September,2020,Lahore,26-Sep-20
27,37°,25°,September,2020,Lahore,27-Sep-20
28,35°,25°,September,2020,Lahore,28-Sep-20
29,36°,25°,September,2020,Lahore,29-Sep-20
30,36°,25°,September,2020,Lahore,30-Sep-20
1,37°,25°,October,2020,Lahore,01-Oct-20
2,35°,24°,October,2020,Lahore,02-Oct-20
3,36°,23°,October,2020,Lahore,03-Oct-20
4,35°,23°,October,2020,Lahore,04-Oct-20
5,36°,23°,October,2020,Lahore,05-Oct-20
6,36°,23°,October,2020,Lahore,06-Oct-20
7,36°,22°,October,2020,Lahore,07-Oct-20
8,36°,22°,October,2020,Lahore,08-Oct-20
9,36°,23°,October,2020,Lahore,09-Oct-20
10,35°,23°,October,2020,Lahore,10-Oct-20
11,36°,22°,October,2020,Lahore,11-Oct-20
12,35°,20°,October,2020,Lahore,12-Oct-20
13,35°,21°,October,2020,Lahore,13-Oct-20
14,34°,20°,October,2020,Lahore,14-Oct-20
15,35°,21°,October,2020,Lahore,15-Oct-20
16,35°,20°,October,2020,Lahore,16-Oct-20
17,34°,17°,October,2020,Lahore,17-Oct-20
18,33°,17°,October,2020,Lahore,18-Oct-20
19,33°,18°,October,2020,Lahore,19-Oct-20
20,33°,18°,October,2020,Lahore,20-Oct-20
21,32°,17°,October,2020,Lahore,21-Oct-20
22,32°,15°,October,2020,Lahore,22-Oct-20
23,31°,16°,October,2020,Lahore,23-Oct-20
24,31°,16°,October,2020,Lahore,24-Oct-20
25,31°,17°,October,2020,Lahore,25-Oct-20
