01/03/2018,26,33,20,-,46,0,5.3,8.3,22.2,-
02/03/2018,26.3,32,19,-,47,0,5.3,12.2,27.8,-
03/03/2018,25.4,30.5,21,-,58,0,5,10.9,22.2,-
04/03/2018,24.6,30,18,-,60,0,5.5,9.3,18.3,-
05/03/2018,26.6,34,17,-,32,0,5.8,8.1,18.3,-
06/03/2018,27.4,35,17,-,21,0,5.6,9.6,25.9,-
07/03/2018,27.4,34,19,-,22,0,5.8,10.4,20.6,-
08/03/2018,27,36,18,-,26,0,5.6,9.6,22.2,-
09/03/2018,25.7,35,19,-,42,0,5.6,10.9,27.8,-
10/03/2018,25.5,33,19,-,53,0,5.6,10.7,22.2,-
11/03/2018,25.8,32.5,22,-,57,0,5.5,14.8,22.2,-
12/03/2018,25.9,33,19,-,54,0,5.5,12.6,22.2,-
13/03/2018,25.7,30,23,1010.5,67,0,5,20.9,35.2,-
14/03/2018,26.2,30,23,-,63,0,5.3,18.5,38.9,-
15/03/2018,26.8,33,22,-,50,0,6,13,25.9,-
16/03/2018,26.4,33,21,-,51,0,5.6,13.7,25.9,-
17/03/2018,26.2,33,20,-,47,0,5.5,11.3,27.8,-
18/03/2018,25.3,29,21,-,53,0,5.8,16.3,27.8,-
19/03/2018,25.7,30,22,-,64,0,6,16.3,25.9,-
20/03/2018,25.9,30,22,-,61,0,6,14.6,29.4,-
21/03/2018,26.9,33,23,1010.8,39,0,5.3,13,25.9,-
22/03/2018,25.1,30.5,20,-,69,0,5.1,10.4,18.3,-
23/03/2018,26.4,32,21,-,54,0,5.6,11.9,24.1,-
24/03/2018,28.1,35,20,-,30,0,5.8,11.3,25.9,-
25/03/2018,30.2,39,20,-,23,0,5.6,9.3,18.3,-
26/03/2018,29.3,39.5,21,-,32,0,5.8,10.7,25.9,-
27/03/2018,29.1,39,23,-,45,0,5.8,13,29.4,-
28/03/2018,29.9,40,23,-,47,0,4.7,8.7,22.2,-
29/03/2018,30.9,41,22,-,32,0,4.8,9.3,25.9,-
30/03/2018,29.6,39,21,-,42,0,6.1,13.5,31.7,-
31/03/2018,28.3,33,25,-,60,0,6,15.4,29.4,-
