01/04/2018,27.9,33,24,-,65,0,5.5,13.9,25.9,-
02/04/2018,27.9,33,25,-,67,0,5.8,16.3,25.9,-
03/04/2018,27.8,33,24,-,66,0,5.8,15.4,25.9,-
04/04/2018,28.1,33,25,-,64,0,5.6,16.1,27.8,-
05/04/2018,28.1,33,25,-,65,0,4.8,13.7,25.9,-
06/04/2018,28.9,35,24,-,55,0,5.5,13.1,24.1,-
07/04/2018,29.3,35,25,-,62,0,5.3,11.5,22.2,-
08/04/2018,28.9,35,25,-,66,0,5.5,10.2,25.9,-
09/04/2018,28.9,35,24,-,69,0,5.3,9.6,22.2,-
10/04/2018,30.7,38,25,-,44,0,4.3,11.7,24.1,-
11/04/2018,30.6,38,25,-,50,0,5,11.3,22.2,-
12/04/2018,32.6,40,26,-,26,0,5.3,15,25.9,-
13/04/2018,29.2,34,24,-,61,0,6.3,11.5,24.1,-
14/04/2018,30.2,36.8,25,-,52,0,6.1,14.6,24.1,-
15/04/2018,30.2,35.5,26,-,55,0,6.3,16.7,27.8,-
16/04/2018,30.3,37.5,26,-,45,0,6.4,17.2,27.8,-
17/04/2018,31,38.5,26,-,43,0,6.1,16.1,33.5,-
18/04/2018,31.6,39,26,-,39,0,6.4,17.4,25.9,-
19/04/2018,29.7,35,26,-,57,0,5.8,16.7,29.4,-
20/04/2018,30.2,36,26,-,25,0,6.1,19.3,33.5,-
21/04/2018,29.7,37,21,-,24,0,6,11.1,33.5,-
22/04/2018,30.5,38,20,-,20,0,5.8,9.1,22.2,-
23/04/2018,31,39.5,22,-,27,0,6,13.5,25.9,-
24/04/2018,30.2,37,26,-,43,0,6.6,18.5,35.2,-
25/04/2018,29.2,34,25,-,62,0,5.6,18.9,37,-
26/04/2018,29.7,34,26,-,68,0,5.8,17.2,25.9,-
27/04/2018,29.8,34.5,26,-,68,0,5.6,16.3,25.9,-
28/04/2018,30.2,35,27,-,69,0,5.8,15.7,27.8,-
29/04/2018,30.7,36,28,-,64,0,6,17,25.9,-
30/04/2018,30.7,38,28,-,63,0,5.5,21.9,37,-
